"Favor","Oppose","Neither","Undecided","No Opinion","poll_slug","survey_house","start_date","end_date","question_text","sample_subpopulation","observations","margin_of_error","mode","partisanship","partisan_affiliation"
42,43,NA,15,NA,"ppp-d-22277","PPP (D)","2015-06-11","2015-06-14","Do you support or oppose President Obama’s health care plan, or do you not have an opinion? If you support it, press 1. If you oppose it, press 2. If you don’t have an opinion, press 3.","Likely Voters",1129,2.9,"IVR/Online","Pollster","Dem"
47,44,NA,9,NA,"cbs-times-22290","CBS/Times","2015-06-10","2015-06-14","","Adults",1007,3,"Live Phone","Nonpartisan","None"
39,42,NA,19,NA,"kaiser-ff-22264","Kaiser FF","2015-06-02","2015-06-09","","Adults",1200,3,"Live Phone","Nonpartisan","None"
43,55,NA,NA,NA,"cnn-22235","CNN","2015-05-29","2015-05-31","From everything you have heard or read so far, do you favor or oppose Barack Obama's plan to reform health care?","Adults",1025,3,"Live Phone","Nonpartisan","None"
39,54,NA,NA,8,"abc-post-22207","ABC/Post","2015-05-28","2015-05-31","","Adults",1001,3.5,"Live Phone","Nonpartisan","None"
43,51,NA,NA,6,"quinnipiac-22196","Quinnipiac","2015-05-19","2015-05-26","Do you support or oppose President Obama's health care reform plan?","Registered Voters",1711,2.4,"Live Phone","Nonpartisan","None"
45,52,NA,3,NA,"rasmussen-22177","Rasmussen","2015-05-21","2015-05-24","Generally speaking, do you strongly favor, somewhat favor, somewhat oppose or strongly oppose the health care reform plan proposed by President Obama and the congressional Democrats?","Likely Voters",1000,3,"IVR/Online","Nonpartisan","None"
43,52,NA,6,NA,"cbs-times-22101","CBS/Times","2015-04-30","2015-05-03","","Adults",1027,3,"Live Phone","Nonpartisan","None"
27,38,NA,1,34,"ap-gfk-web-22091","AP-GfK (web)","2015-04-23","2015-04-27","","Adults",1077,3.4,"Internet","Nonpartisan","None"
42,54,NA,4,NA,"rasmussen-22073","Rasmussen","2015-04-23","2015-04-26","Generally speaking, do you strongly favor, somewhat favor, somewhat oppose or strongly oppose the health care reform plan proposed by President Obama and the congressional Democrats?","Likely Voters",1000,3,"IVR/Online","Nonpartisan","None"
43,42,NA,14,NA,"kaiser-ff-22047","Kaiser FF","2015-04-08","2015-04-14","","Adults",1506,3,"Live Phone","Nonpartisan","None"
47,53,NA,NA,NA,"ipsos-reuters-22051","Ipsos/Reuters","2015-03-06","2015-04-13","","Adults",14079,1,"Internet","Nonpartisan","None"
44,50,NA,NA,7,"gallup-21987","Gallup","2015-04-01","2015-04-04","Do you generally approve or disapprove of the 2010 Affordable Care Act, signed into law by President Obama that restructured the U.S. healthcare system?","Adults",2040,3,"Live Phone","Nonpartisan","None"
41,43,NA,16,NA,"kaiser-ff-21894","Kaiser FF","2015-03-06","2015-03-12","","Adults",1503,3,"Live Phone","Nonpartisan","None"
37,44,NA,1,18,"nbc-wsj-21839","NBC/WSJ","2015-03-01","2015-03-05","From what you have heard about Barack Obama's health care plan, do you think his plan is a good idea or a bad idea? If you do not have an opinion either way, please just say so.","Adults",1000,3.1,"Live Phone","Nonpartisan","None"
38,58,NA,4,NA,"fox-21822","FOX","2015-03-01","2015-03-03","Based on what you know about the health care reform legislation beingconsidered right now, do you favor or oppose the plan?","Registered Voters",1011,3,"Live Phone","Nonpartisan","None"
36,43,18,3,NA,"hart-d-21805","Hart (D)","2015-02-18","2015-02-22","","Registered Voters",800,3.5,"Live Phone","Sponsor","Dem"
45,53,NA,3,NA,"pew-21789","Pew","2015-02-18","2015-02-22","As of right now, do you generally favor or generally oppose the health care proposals being discussed in Congress?","Adults",1504,2.9,"Live Phone","Nonpartisan","None"
44,52,NA,4,NA,"cbs-21766","CBS","2015-02-13","2015-02-17","","Adults",1006,3,"Live Phone","Nonpartisan","None"
40,46,NA,15,NA,"kaiser-ff-21652","Kaiser FF","2015-01-15","2015-01-21","","Adults",1503,3,"Live Phone","Nonpartisan","None"
43,50,NA,7,NA,"cbs-21595","CBS","2015-01-09","2015-01-12","","Adults",1001,3,"Live Phone","Nonpartisan","None"
41,46,NA,14,NA,"kaiser-ff-21531","Kaiser FF","2014-12-02","2014-12-09","","Adults",1505,3,"Live Phone","Nonpartisan","None"
40,54,NA,NA,6,"quinnipiac-21480","Quinnipiac","2014-11-18","2014-11-23","Do you support or oppose President Obama's health care reform plan?","Registered Voters",1623,2.4,"Live Phone","Nonpartisan","None"
37,46,NA,18,NA,"kaiser-ff-21530","Kaiser FF","2014-11-05","2014-11-13","","Adults",1501,3,"Live Phone","Nonpartisan","None"
37,56,NA,NA,NA,"gallup-21440","Gallup","2014-11-06","2014-11-09","Thanking about health care legislation now being considered by Congress, would you advise your member of Congress to vote for or against a healthcare bill this year, or do you not have an opinion?","Adults",828,4,"Live Phone","Nonpartisan","None"
45,51,NA,4,NA,"pew-21431","Pew","2014-11-06","2014-11-09","As of right now, do you generally favor or generally oppose the health care proposals being discussed in Congress?","Adults",1353,3.1,"Live Phone","Nonpartisan","None"
36,55,NA,9,NA,"cbs-21202","CBS","2014-10-23","2014-10-27","","Adults",1269,3,"Live Phone","Nonpartisan","None"
43,51,NA,5,NA,"pew-21003","Pew","2014-10-15","2014-10-20","As of right now, do you generally favor or generally oppose the health care proposals being discussed in Congress?","Adults",2003,2.5,"Live Phone","Nonpartisan","None"
36,43,NA,20,NA,"kaiser-ff-21529","Kaiser FF","2014-10-08","2014-10-14","","Adults",1503,3,"Live Phone","Nonpartisan","None"
36,48,NA,2,14,"nbc-wsj-20884","NBC/WSJ","2014-10-08","2014-10-12","From what you have heard about Barack Obama's health care plan, do you think his plan is a good idea or a bad idea? If you do not have an opinion either way, please just say so.","Registered Voters",1000,3.1,"Live Phone","Nonpartisan","None"
25,40,NA,1,34,"ap-gfk-web-20659","AP-GfK (Web)","2014-09-25","2014-09-29","","Adults",1845,2.5,"Internet","Nonpartisan","None"
41,51,NA,7,NA,"cbs-times-20473","CBS/Times","2014-09-12","2014-09-15","","Adults",1009,3,"Live Phone","Nonpartisan","None"
43,53,NA,4,NA,"rasmussen-20444","Rasmussen","2014-09-13","2014-09-14","Generally speaking, do you strongly favor, somewhat favor, somewhat oppose or strongly oppose the health care reform plan proposed by President Obama and the congressional Democrats?","Likely Voters",1000,3,"IVR/Online","Nonpartisan","None"
44,52,NA,4,NA,"pew-20410","Pew","2014-09-02","2014-09-09","As of right now, do you generally favor or generally oppose the health care proposals being discussed in Congress?","Adults",2002,2.5,"Live Phone","Nonpartisan","None"
43,52,NA,5,NA,"abc-post-20348","ABC/Post","2014-09-04","2014-09-07","","Adults",1001,3.5,"Live Phone","Nonpartisan","None"
34,48,NA,2,16,"nbc-wsj-20356","NBC/WSJ","2014-09-03","2014-09-07","From what you have heard about Barack Obama's health care plan, do you think his plan is a good idea or a bad idea? If you do not have an opinion either way, please just say so.","Registered Voters",1000,3.1,"Live Phone","Nonpartisan","None"
41,56,NA,4,NA,"rasmussen-20443","Rasmussen","2014-09-05","2014-09-06","Generally speaking, do you strongly favor, somewhat favor, somewhat oppose or strongly oppose the health care reform plan proposed by President Obama and the congressional Democrats?","Likely Voters",1000,3,"IVR/Online","Nonpartisan","None"
35,47,NA,19,NA,"kaiser-ff-20347","Kaiser FF","2014-08-25","2014-09-02","","Adults",1505,3,"Live Phone","Nonpartisan","None"
43,53,NA,4,NA,"rasmussen-20442","Rasmussen","2014-08-22","2014-08-23","Generally speaking, do you strongly favor, somewhat favor, somewhat oppose or strongly oppose the health care reform plan proposed by President Obama and the congressional Democrats?","Likely Voters",1000,3,"IVR/Online","Nonpartisan","None"
44,53,NA,4,NA,"rasmussen-20441","Rasmussen","2014-08-08","2014-08-09","Generally speaking, do you strongly favor, somewhat favor, somewhat oppose or strongly oppose the health care reform plan proposed by President Obama and the congressional Democrats?","Likely Voters",1000,3,"IVR/Online","Nonpartisan","None"
39,57,NA,4,NA,"rasmussen-19957","Rasmussen","2014-07-25","2014-07-26","Generally speaking, do you strongly favor, somewhat favor, somewhat oppose or strongly oppose the health care reform plan proposed by President Obama and the congressional Democrats?","Likely Voters",1000,3,"IVR/Online","Nonpartisan","None"
37,53,NA,11,NA,"kaiser-ff-20022","Kaiser FF","2014-07-15","2014-07-21","","Adults",1507,3,"Live Phone","Nonpartisan","None"
40,59,NA,1,NA,"cnn-19907","CNN","2014-07-18","2014-07-20","From everything you have heard or read so far, do you favor or oppose Barack Obama's plan to reform health care?","Adults",1012,3,"Live Phone","Nonpartisan","None"
39,54,NA,6,NA,"rasmussen-19848","Rasmussen","2014-07-11","2014-07-12","Generally speaking, do you strongly favor, somewhat favor, somewhat oppose or strongly oppose the health care reform plan proposed by President Obama and the congressional Democrats?","Likely Voters",1000,3,"IVR/Online","Nonpartisan","None"
43,55,NA,NA,2,"quinnipiac-19790","Quinnipiac","2014-06-24","2014-06-30","Do you support or oppose President Obama's health care reform plan?","Registered Voters",1446,2.6,"Live Phone","Nonpartisan","None"
44,51,NA,4,NA,"rasmussen-19847","Rasmussen","2014-06-28","2014-06-29","Generally speaking, do you strongly favor, somewhat favor, somewhat oppose or strongly oppose the health care reform plan proposed by President Obama and the congressional Democrats?","Likely Voters",1000,3,"IVR/Online","Nonpartisan","None"
39,45,NA,16,NA,"kaiser-ff-20021","Kaiser FF","2014-06-12","2014-06-18","","Adults",1202,3,"Live Phone","Nonpartisan","None"
42,54,NA,4,NA,"rasmussen-19680","Rasmussen","2014-06-14","2014-06-15","Generally speaking, do you strongly favor, somewhat favor, somewhat oppose or strongly oppose the health care reform plan proposed by President Obama and the congressional Democrats?","Likely Voters",1000,3,"IVR/Online","Nonpartisan","None"
44,52,NA,4,NA,"rasmussen-19679","Rasmussen","2014-06-06","2014-06-07","Generally speaking, do you strongly favor, somewhat favor, somewhat oppose or strongly oppose the health care reform plan proposed by President Obama and the congressional Democrats?","Likely Voters",1000,3,"IVR/Online","Nonpartisan","None"
43,51,NA,NA,NA,"gallup-19548","Gallup","2014-05-21","2014-05-25","Thanking about health care legislation now being considered by Congress, would you advise your member of Congress to vote for or against a healthcare bill this year, or do you not have an opinion?","Adults",2538,3,"Live Phone","Nonpartisan","None"
42,53,NA,5,NA,"rasmussen-19678","Rasmussen","2014-05-23","2014-05-24","Generally speaking, do you strongly favor, somewhat favor, somewhat oppose or strongly oppose the health care reform plan proposed by President Obama and the congressional Democrats?","Likely Voters",1000,3,"IVR/Online","Nonpartisan","None"
38,45,NA,17,NA,"kaiser-ff-19560","Kaiser FF","2014-05-13","2014-05-19","","Adults",1505,3,"Live Phone","Nonpartisan","None"
43,53,NA,4,NA,"fox-19450","FOX","2014-05-10","2014-05-13","Based on what you know about the health care reform legislation beingconsidered right now, do you favor or oppose the plan?","Registered Voters",1025,3,"Live Phone","Nonpartisan","None"
43,53,NA,3,NA,"rasmussen-19677","Rasmussen","2014-05-03","2014-05-04","Generally speaking, do you strongly favor, somewhat favor, somewhat oppose or strongly oppose the health care reform plan proposed by President Obama and the congressional Democrats?","Likely Voters",1000,3,"IVR/Online","Nonpartisan","None"
44,48,NA,8,NA,"abc-post-19341","ABC/Post","2014-04-24","2014-04-27","","Adults",1000,3.5,"Live Phone","Nonpartisan","None"
41,55,NA,4,NA,"pew-usa-today-19377","Pew/USA Today","2014-04-23","2014-04-27","As of right now, do you generally favor or generally oppose the health care proposals being discussed in Congress?","Adults",1501,2.9,"Live Phone","Nonpartisan","None"
36,46,NA,1,17,"nbc-wsj-19357","NBC/WSJ","2014-04-23","2014-04-27","From what you have heard about Barack Obama's health care plan, do you think his plan is a good idea or a bad idea? If you do not have an opinion either way, please just say so.","Adults",1000,3.1,"Live Phone","Nonpartisan","None"
38,46,NA,16,NA,"kaiser-ff-19348","Kaiser FF","2014-04-15","2014-04-21","","Adults",1504,3,"Live Phone","Nonpartisan","None"
45,51,NA,4,NA,"rasmussen-19281","Rasmussen","2014-04-19","2014-04-20","Generally speaking, do you strongly favor, somewhat favor, somewhat oppose or strongly oppose the health care reform plan proposed by President Obama and the congressional Democrats?","Likely Voters",1000,3,"IVR/Online","Nonpartisan","None"
43,54,NA,NA,3,"gallup-19231","Gallup","2014-04-07","2014-04-08","Thanking about health care legislation now being considered by Congress, would you advise your member of Congress to vote for or against a healthcare bill this year, or do you not have an opinion?","Adults",1009,4,"Live Phone","Nonpartisan","None"
39,58,NA,3,NA,"rasmussen-19274","Rasmussen","2014-04-05","2014-04-06","Generally speaking, do you strongly favor, somewhat favor, somewhat oppose or strongly oppose the health care reform plan proposed by President Obama and the congressional Democrats?","Likely Voters",1000,3,"IVR/Online","Nonpartisan","None"
37,50,NA,12,NA,"pew-19227","Pew","2014-04-03","2014-04-06","As of right now, do you generally favor or generally oppose the health care proposals being discussed in Congress?","Adults",1010,3.6,"Live Phone","Nonpartisan","None"
41,55,NA,NA,5,"quinnipiac-19163","Quinnipiac","2014-03-26","2014-03-31","Do you support or oppose President Obama's health care reform plan?","Registered Voters",1578,2.5,"Live Phone","Nonpartisan","None"
36,53,NA,9,NA,"reason-rupe-19173","Reason/Rupe","2014-03-26","2014-03-30","","Adults",1003,3.6,"Live Phone","Nonpartisan","None"
49,48,NA,NA,3,"abc-post-19158","ABC/Post","2014-03-26","2014-03-30","","Adults",1017,3.5,"Live Phone","Nonpartisan","None"
41,53,NA,7,NA,"cbs-19133","CBS","2014-03-20","2014-03-23","","Adults",1097,3,"Live Phone","Nonpartisan","None"
47,51,NA,2,NA,"npr-19172","NPR","2014-03-19","2014-03-23","As you may have heard, President Obama and the Democrats in Congress are preparing a plan to change the health care system. From what you have heard about this plan, do you favor or oppose Obama and the Democrats' health care proposal?","Likely Voters",840,3.18,"Live Phone","Pollster","Dem"
42,53,NA,4,NA,"gwu-battleground-19123","GWU/Battleground","2014-03-16","2014-03-20","","Likely Voters",1000,3.1,"Live Phone","Nonpartisan","None"
38,46,NA,15,NA,"kaiser-ff-19134","Kaiser FF","2014-03-11","2014-03-17","","Adults",1504,3,"Live Phone","Nonpartisan","None"
41,53,NA,5,NA,"pew-19085","Pew","2014-02-27","2014-03-16","As of right now, do you generally favor or generally oppose the health care proposals being discussed in Congress?","Adults",1003,3.6,"Live Phone","Nonpartisan","None"
41,54,NA,5,NA,"mclaughlin-r-19061","McLaughlin (R)","2014-03-09","2014-03-12","","Likely Voters",1000,3.1,"Internet","Pollster","Rep"
40,56,NA,4,NA,"rasmussen-18995","Rasmussen","2014-03-08","2014-03-09","Generally speaking, do you strongly favor, somewhat favor, somewhat oppose or strongly oppose the health care reform plan proposed by President Obama and the congressional Democrats?","Likely Voters",1000,3,"IVR/Online","Nonpartisan","None"
39,57,NA,4,NA,"cnn-19014","CNN","2014-03-07","2014-03-09","From everything you have heard or read so far, do you favor or oppose Barack Obama's plan to reform health care?","Adults",801,3.5,"Live Phone","Nonpartisan","None"
39,48,NA,12,NA,"ppp-d-19020","PPP (D)","2014-03-06","2014-03-09","Do you support or oppose President Obama’s health care plan, or do you not have an opinion? If you support it, press 1. If you oppose it, press 2. If you don’t have an opinion, press 3.","Likely Voters",1152,2.9,"Automated Phone","Pollster","Dem"
35,49,NA,2,14,"nbc-wsj-19029","NBC/WSJ","2014-03-05","2014-03-09","From what you have heard about Barack Obama's health care plan, do you think his plan is a good idea or a bad idea? If you do not have an opinion either way, please just say so.","Adults",1000,3.1,"Live Phone","Nonpartisan","None"
38,57,NA,5,NA,"fox-18972","FOX","2014-03-02","2014-03-04","Based on what you know about the health care reform legislation beingconsidered right now, do you favor or oppose the plan?","Registered Voters",1002,3,"Live Phone","Nonpartisan","None"
40,55,NA,NA,5,"gallup-18981","Gallup","2014-02-28","2014-03-02","Thanking about health care legislation now being considered by Congress, would you advise your member of Congress to vote for or against a healthcare bill this year, or do you not have an opinion?","Adults",1533,3,"Live Phone","Nonpartisan","None"
35,47,NA,18,NA,"kaiser-ff-18931","Kaiser FF","2014-02-11","2014-02-17","","Adults",1501,3,"Live Phone","Nonpartisan","None"
41,51,NA,NA,9,"gallup-18790","Gallup","2014-01-31","2014-02-01","Thanking about health care legislation now being considered by Congress, would you advise your member of Congress to vote for or against a healthcare bill this year, or do you not have an opinion?","Adults",1017,4,"Live Phone","Nonpartisan","None"
42,53,NA,6,NA,"rasmussen-18784","Rasmussen","2014-01-31","2014-02-01","Generally speaking, do you strongly favor, somewhat favor, somewhat oppose or strongly oppose the health care reform plan proposed by President Obama and the congressional Democrats?","Likely Voters",1000,3,"IVR/Online","Nonpartisan","None"
38,52,NA,10,NA,"ppp-d-18736","PPP (D)","2014-01-23","2014-01-26","Do you support or oppose President Obama’s health care plan, or do you not have an opinion? If you support it, press 1. If you oppose it, press 2. If you don’t have an opinion, press 3.","Likely Voters",845,3.4,"Automated Phone","Pollster","Dem"
34,48,NA,1,17,"nbc-wsj-18737","NBC/WSJ","2014-01-22","2014-01-25","From what you have heard about Barack Obama's health care plan, do you think his plan is a good idea or a bad idea? If you do not have an opinion either way, please just say so.","Adults",800,3.4,"Live Phone","Nonpartisan","None"
46,49,NA,NA,NA,"abc-post-18729","ABC/Post","2014-01-20","2014-01-23","","Adults",1003,3.5,"Live Phone","Nonpartisan","None"
36,59,NA,5,NA,"fox-18712","FOX","2014-01-19","2014-01-21","Based on what you know about the health care reform legislation beingconsidered right now, do you favor or oppose the plan?","Registered Voters",1010,3,"Live Phone","Nonpartisan","None"
34,50,NA,16,NA,"kaiser-ff-18755","Kaiser FF","2014-01-14","2014-01-21","","Adults",1506,3,"Live Phone","Nonpartisan","None"
41,56,NA,3,NA,"rasmussen-18654","Rasmussen","2014-01-11","2014-01-12","Generally speaking, do you strongly favor, somewhat favor, somewhat oppose or strongly oppose the health care reform plan proposed by President Obama and the congressional Democrats?","Likely Voters",1000,3,"IVR/Online","Nonpartisan","None"
38,54,NA,NA,8,"gallup-18651","Gallup","2014-01-03","2014-01-04","Thanking about health care legislation now being considered by Congress, would you advise your member of Congress to vote for or against a healthcare bill this year, or do you not have an opinion?","Adults",1020,4,"Live Phone","Nonpartisan","None"
35,62,NA,3,NA,"cnn-18601","CNN","2013-12-16","2013-12-19","From everything you have heard or read so far, do you favor or oppose Barack Obama's plan to reform health care?","Adults",1035,3,"Live Phone","Nonpartisan","None"
37,54,NA,9,NA,"ppp-d-18552","PPP (D)","2013-12-12","2013-12-15","Do you support or oppose President Obama’s health care plan, or do you not have an opinion? If you support it, press 1. If you oppose it, press 2. If you don’t have an opinion, press 3.","Likely Voters",1316,2.7,"Automated Phone","Pollster","Dem"
46,49,NA,NA,5,"abc-post-18550","ABC/Post","2013-12-12","2013-12-15","","Adults",1005,3.5,"Live Phone","Nonpartisan","None"
34,48,NA,18,NA,"kaiser-ff-18584","Kaiser FF","2013-12-10","2013-12-15","","Adults",1206,3,"Live Phone","Nonpartisan","None"
41,51,NA,NA,8,"gallup-18534","Gallup","2013-12-11","2013-12-12","Thanking about health care legislation now being considered by Congress, would you advise your member of Congress to vote for or against a healthcare bill this year, or do you not have an opinion?","Adults",1011,4,"Live Phone","Nonpartisan","None"
27,44,NA,1,28,"ap-gfk-web-18542","AP-GfK (Web)","2013-12-05","2013-12-09","","Adults",1367,3.5,"Internet","Nonpartisan","None"
39,57,NA,NA,4,"quinnipiac-18519","Quinnipiac","2013-12-03","2013-12-09","Do you support or oppose President Obama's health care reform plan?","Registered Voters",2692,1.9,"Live Phone","Nonpartisan","None"
34,50,NA,NA,16,"nbc-wsj-18516","NBC/WSJ","2013-12-05","2013-12-08","From what you have heard about Barack Obama's health care plan, do you think his plan is a good idea or a bad idea? If you do not have an opinion either way, please just say so.","Adults",1000,3.1,"Live Phone","Nonpartisan","None"
39,50,NA,11,NA,"cbs-times-18508","CBS/Times","2013-12-05","2013-12-08","","Adults",1000,3,"Live Phone","Nonpartisan","None"
41,53,NA,7,NA,"reason-rupe-18513","Reason/Rupe","2013-12-04","2013-12-08","","Adults",1011,3.7,"Live Phone","Nonpartisan","None"
41,54,NA,5,NA,"pew-usa-today-18507","Pew/USA Today","2013-12-03","2013-12-08","As of right now, do you generally favor or generally oppose the health care proposals being discussed in Congress?","Adults",2001,2.6,"Live Phone","Nonpartisan","None"
40,56,NA,3,NA,"rasmussen-18504","Rasmussen","2013-12-06","2013-12-07","Generally speaking, do you strongly favor, somewhat favor, somewhat oppose or strongly oppose the health care reform plan proposed by President Obama and the congressional Democrats?","Likely Voters",1000,3,"Automated Phone","Nonpartisan","None"
40,54,NA,NA,6,"gallup-18479","Gallup","2013-11-23","2013-11-24","Thanking about health care legislation now being considered by Congress, would you advise your member of Congress to vote for or against a healthcare bill this year, or do you not have an opinion?","Adults",1034,4,"Live Phone","Nonpartisan","None"
36,58,NA,6,NA,"rasmussen-18465","Rasmussen","2013-11-23","2013-11-24","Generally speaking, do you strongly favor, somewhat favor, somewhat oppose or strongly oppose the health care reform plan proposed by President Obama and the congressional Democrats?","Likely Voters",1000,3,"Automated Phone","Nonpartisan","None"
40,58,NA,2,NA,"cnn-18464","CNN","2013-11-18","2013-11-20","From everything you have heard or read so far, do you favor or oppose Barack Obama's plan to reform health care?","Adults",843,3.5,"Live Phone","Nonpartisan","None"
31,61,NA,8,NA,"cbs-18428","CBS","2013-11-15","2013-11-18","","Adults",1010,3,"Live Phone","Nonpartisan","None"
33,49,NA,18,NA,"kaiser-ff-18448","Kaiser FF","2013-11-13","2013-11-18","","Adults",1513,3,"Live Phone","Nonpartisan","None"
40,57,NA,NA,2,"abc-post-18422","ABC/Post","2013-11-14","2013-11-17","","Adults",1006,3.5,"Live Phone","Nonpartisan","None"
38,58,NA,5,NA,"rasmussen-18419","Rasmussen","2013-11-15","2013-11-16","Generally speaking, do you strongly favor, somewhat favor, somewhat oppose or strongly oppose the health care reform plan proposed by President Obama and the congressional Democrats?","Likely Voters",1000,3,"Automated Phone","Nonpartisan","None"
39,55,NA,NA,6,"quinnipiac-18394","Quinnipiac","2013-11-06","2013-11-11","Do you support or oppose President Obama's health care reform plan?","Registered Voters",2545,1.9,"Live Phone","Nonpartisan","None"
40,55,NA,NA,NA,"gallup-18408","Gallup","2013-11-07","2013-11-10","Thanking about health care legislation now being considered by Congress, would you advise your member of Congress to vote for or against a healthcare bill this year, or do you not have an opinion?","Adults",1039,4,"Live Phone","Nonpartisan","None"
43,53,NA,4,NA,"gwu-battleground-18357","GWU/Battleground","2013-10-27","2013-10-31","","Likely Voters",1000,3.1,"Live Phone","Nonpartisan","None"
47,53,NA,NA,NA,"ipsos-reuters-web-18441","Ipsos/Reuters (Web)","2013-10-01","2013-10-31","","Adults",11999,NA,"Internet","Nonpartisan","None"
44,47,NA,NA,9,"gallup-18316","Gallup","2013-10-26","2013-10-28","Thanking about health care legislation now being considered by Congress, would you advise your member of Congress to vote for or against a healthcare bill this year, or do you not have an opinion?","Adults",1530,3,"Live Phone","Nonpartisan","None"
37,47,NA,1,14,"nbc-wsj-18326","NBC/WSJ","2013-10-25","2013-10-28","From what you have heard about Barack Obama's health care plan, do you think his plan is a good idea or a bad idea? If you do not have an opinion either way, please just say so.","Adults",800,3.46,"Live Phone","Nonpartisan","None"
38,44,NA,18,NA,"kaiser-ff-18339","Kaiser FF","2013-10-17","2013-10-23","","Adults",1513,3,"Live Phone","Nonpartisan","None"
43,51,NA,6,NA,"cbs-18236","CBS","2013-10-18","2013-10-21","","Adults",1007,3,"Live Phone","Nonpartisan","None"
46,49,NA,NA,5,"abc-post-18218","ABC/Post","2013-10-27","2013-10-20","","Adults",1002,3.5,"Live Phone","Nonpartisan","None"
45,50,NA,NA,6,"gallup-18237","Gallup","2013-10-18","2013-10-20","Thanking about health care legislation now being considered by Congress, would you advise your member of Congress to vote for or against a healthcare bill this year, or do you not have an opinion?","Adults",1528,3,"Live Phone","Nonpartisan","None"
41,56,NA,3,NA,"cnn-18216","CNN","2013-10-18","2013-10-20","From everything you have heard or read so far, do you favor or oppose Barack Obama's plan to reform health care?","Adults",841,3.5,"Live Phone","Nonpartisan","None"
46,48,NA,6,NA,"rasmussen-18221","Rasmussen","2013-10-18","2013-10-19","Generally speaking, do you strongly favor, somewhat favor, somewhat oppose or strongly oppose the health care reform plan proposed by President Obama and the congressional Democrats?","Likely Voters",1000,3,"Automated Phone","Nonpartisan","None"
41,52,NA,7,NA,"pew-18222","Pew","2013-10-09","2013-10-13","As of right now, do you generally favor or generally oppose the health care proposals being discussed in Congress?","Adults",1504,2.9,"Live Phone","Nonpartisan","None"
38,43,NA,2,17,"nbc-wsj-18169","NBC/WSJ","2013-10-07","2013-10-09","From what you have heard about Barack Obama's health care plan, do you think his plan is a good idea or a bad idea? If you do not have an opinion either way, please just say so.","Adults",800,3.46,"Live Phone","Nonpartisan","None"
44,56,NA,NA,NA,"ipsos-reuters-web-18440","Ipsos/Reuters (Web)","2013-09-01","2013-09-30","","Adults",11906,NA,"Internet","Nonpartisan","None"
38,57,NA,4,NA,"cnn-18100","CNN","2013-09-27","2013-09-29","From everything you have heard or read so far, do you favor or oppose Barack Obama's plan to reform health care?","Adults",803,3.5,"Live Phone","Nonpartisan","None"
45,47,NA,NA,8,"quinnipiac-18107","Quinnipiac","2013-09-23","2013-09-29","Do you support or oppose President Obama's health care reform plan?","Registered Voters",1497,2.5,"Live Phone","Nonpartisan","None"
39,51,NA,10,NA,"cbs-times-18071","CBS/Times","2013-09-19","2013-09-23","","Adults",1014,3,"Live Phone","Nonpartisan","None"
38,53,9,NA,NA,"uconn-hartford-courant-18064","UConn/Hartford Courant","2013-09-13","2013-09-19","","Adults",1015,3.1,"Live Phone","Nonpartisan","None"
39,43,NA,17,NA,"kaiser-ff-18149","Kaiser FF","2013-09-12","2013-09-18","","Adults",1503,3,"Live Phone","Nonpartisan","None"
43,53,NA,4,NA,"rasmussen-18102","Rasmussen","2013-09-14","2013-09-15","Generally speaking, do you strongly favor, somewhat favor, somewhat oppose or strongly oppose the health care reform plan proposed by President Obama and the congressional Democrats?","Likely Voters",1000,3,"Automated Phone","Nonpartisan","None"
42,52,NA,6,NA,"abc-post-18235","ABC/Post","2013-09-12","2013-09-15","","Adults",1004,4,"Live Phone","Nonpartisan","None"
31,44,NA,1,24,"nbc-wsj-17917","NBC/WSJ","2013-09-05","2013-09-08","From what you have heard about Barack Obama's health care plan, do you think his plan is a good idea or a bad idea? If you do not have an opinion either way, please just say so.","Adults",1000,3.1,"Live Phone","Nonpartisan","None"
42,53,NA,5,NA,"pew-usa-today-17944","Pew/USA Today","2013-09-04","2013-09-08","As of right now, do you generally favor or generally oppose the health care proposals being discussed in Congress?","Adults",1506,2.9,"Live Phone","Nonpartisan","None"
37,42,NA,20,NA,"kaiser-ff-17863","Kaiser FF","2013-08-13","2013-08-19","","Adults",1503,3,"Live Phone","Nonpartisan","None"
41,49,NA,NA,11,"gallup-18240","Gallup","2013-08-17","2013-08-18","Thanking about health care legislation now being considered by Congress, would you advise your member of Congress to vote for or against a healthcare bill this year, or do you not have an opinion?","Adults",1021,4,"Live Phone","Nonpartisan","None"
36,54,NA,10,NA,"cbs-17729","CBS","2013-07-18","2013-07-22","","Adults",1036,3,"Live Phone","Nonpartisan","None"
42,49,NA,9,NA,"abc-post-17717","ABC/Post","2013-07-18","2013-07-21","","Adults",1002,3.5,"Live Phone","Nonpartisan","None"
34,47,NA,1,18,"nbc-wsj-17722","NBC/WSJ","2013-07-17","2013-07-21","From what you have heard about Barack Obama's health care plan, do you think his plan is a good idea or a bad idea? If you do not have an opinion either way, please just say so.","Adults",1000,3.1,"Live Phone","Nonpartisan","None"
45,50,NA,5,NA,"rasmussen-17675","Rasmussen","2013-07-12","2013-07-13","Generally speaking, do you strongly favor, somewhat favor, somewhat oppose or strongly oppose the health care reform plan proposed by President Obama and the congressional Democrats?","Likely Voters",1000,3,"Automated Phone","Nonpartisan","None"
